"Scenario","Method","Parameter","N_Estimate","N_Variance","Mean_Estimate","Bias","MC_SD","Mean_Analytic_SE","SE_to_MCSD","RMSE","Coverage","Mean_CI_Width","Mean_ESS","Mean_MaxWeight","Median_MaxWeight","P95_MaxWeight","Estimator_Failure_Rate","Variance_Failure_Rate","Lambda_Failure_Rate","Mean_Calibration_Residual"
"OR1PS1","AIPW","beta0",1000,1000,0.997187988371155,-0.0281201162884481,0.493292642551457,0.499678386627952,1.01294514356319,0.493847177276817,0.95,1.95870328328773,503.704462736016,10.8187466111228,9.27954386441954,21.1697964797129,0,0,NA,NA
"OR1PS1","AIPW","beta1",1000,1000,0.998639506914318,-0.0136049308568242,0.438826620994483,0.407274982898956,0.928099990779904,0.438818104268456,0.936,1.59648859657224,503.704462736016,10.8187466111228,9.27954386441954,21.1697964797129,0,0,NA,NA
"OR1PS1","AIPW","beta2",1000,1000,2.00676293343945,0.0676293343944714,0.726255402687118,0.723402844753965,0.996072238605595,0.729035794658215,0.949,2.83568704406318,503.704462736016,10.8187466111228,9.27954386441954,21.1697964797129,0,0,NA,NA
"OR1PS1","CC","beta0",1000,1000,1.20561938208014,2.05619382080136,0.580918140976394,0.610826315189147,1.05148431784637,2.13660044213481,0.066,2.39439515716008,NA,NA,NA,NA,0,0,NA,NA
"OR1PS1","CC","beta1",1000,1000,0.921265735430847,-0.78734264569153,0.434979999226112,0.417377577240604,0.959532801469434,0.899403598976321,0.533,1.63609003869233,NA,NA,NA,NA,0,0,NA,NA
"OR1PS1","CC","beta2",1000,1000,1.92331761901136,-0.76682380988638,0.763338766234624,0.785511316896188,1.02904680286439,1.0817218410355,0.838,3.07914778113031,NA,NA,NA,NA,0,0,NA,NA
"OR1PS1","CE","beta0",1000,1000,0.997190451663198,-0.0280954833680225,0.491509256306976,0.495987978784755,1.00911218338273,0.492066178346047,0.948,1.94423715036587,488.114280209917,12.8685228915256,10.9365006202797,26.8832266380899,0.995,0,0,1.14424520219058e-05
"OR1PS1","CE","beta1",1000,1000,0.998285337089575,-0.0171466291042494,0.441294884135159,0.405698918737029,0.919337461915313,0.441407340762179,0.932,1.59031053858284,488.114280209917,12.8685228915256,10.9365006202797,26.8832266380899,0.995,0,0,1.14424520219058e-05
"OR1PS1","CE","beta2",1000,1000,2.00704703423337,0.0704703423337297,0.727378500444011,0.712995697564165,0.980226521857511,0.730422119444574,0.945,2.79489177671555,488.114280209917,12.8685228915256,10.9365006202797,26.8832266380899,0.995,0,0,1.14424520219058e-05
"OR1PS1","ET","beta0",1000,1000,0.998991616929772,-0.0100838307022786,0.501881886027821,0.504380698513802,1.00497888558154,0.50173222513304,0.955,1.97713600716841,505.71533604903,10.2405979569876,9.5995191322893,16.0472188241617,0,0,0,9.11692158942983e-07
"OR1PS1","ET","beta1",1000,1000,0.998461867019064,-0.015381329809362,0.433713917651524,0.399767604801949,0.921731096310241,0.43376980059586,0.931,1.56706021519532,505.71533604903,10.2405979569876,9.5995191322893,16.0472188241617,0,0,0,9.11692158942983e-07
"OR1PS1","ET","beta2",1000,1000,2.00335821728536,0.0335821728535907,0.740297159394669,0.738509341437395,0.99758499957134,0.740688603029084,0.945,2.89490342292737,505.71533604903,10.2405979569876,9.5995191322893,16.0472188241617,0,0,0,9.11692158942983e-07
"OR1PS1","Full","beta0",1000,1000,0.998463009782766,-0.0153699021723443,0.443232143540494,0.448083021882722,1.01094432886451,0.443277015225492,0.96,1.75645316994801,NA,NA,NA,NA,0,0,NA,NA
"OR1PS1","Full","beta1",1000,1000,0.999252413914673,-0.00747586085326523,0.323623592843833,0.316908498718955,0.979250294869205,0.323548120239947,0.942,1.24225848776762,NA,NA,NA,NA,0,0,NA,NA
"OR1PS1","Full","beta2",1000,1000,2.00235965089212,0.0235965089212468,0.617968837830723,0.63334754364726,1.02488589209534,0.618110341507562,0.953,2.48267675049108,NA,NA,NA,NA,0,0,NA,NA
"OR1PS1","HD","beta0",1000,1000,0.996260984374796,-0.0373901562520427,0.489987821400162,0.495059942427452,1.01035152468238,0.491167996555057,0.948,1.94059931469256,503.540291920232,10.615632205807,9.77771805411002,17.8924978478642,0,0,0,9.0433951820064e-07
"OR1PS1","HD","beta1",1000,1000,0.998400777551728,-0.0159922244827196,0.436900934338043,0.403517485630645,0.923590347184819,0.436975165476181,0.937,1.58175947793645,503.540291920232,10.615632205807,9.77771805411002,17.8924978478642,0,0,0,9.0433951820064e-07
"OR1PS1","HD","beta2",1000,1000,2.00883542944679,0.0883542944678577,0.717344833902658,0.710857922850494,0.990957053364597,0.722409515764444,0.942,2.78651185382384,503.540291920232,10.615632205807,9.77771805411002,17.8924978478642,0,0,0,9.0433951820064e-07
