"method","parameter","N_success","Mean_Estimate","Bias","MC_SD","RMSE","Avg_SE","SE_MC_Ratio","Coverage","Avg_CI_Width","Mean_ESS","Mean_Max_Weight","Max_Weight_Overall","Supervised_MC_SD","ARE"
"ET","(Intercept)",1000,3.60073357334134,0.0025157581746289,0.142894104168012,0.142844794515467,0.142984185653023,1.00063040729032,0.946,0.560487708477427,993.735497510039,4.01244155294666,8.33005499390898,0.206948582434573,2.09747257770205
"ET","X1",1000,5.63922872494878,-0.0109794842105227,0.22090767990612,0.221070015859212,0.212426335257997,0.961606836612802,0.944,0.832695932947012,993.735497510039,4.01244155294666,8.33005499390898,0.332713714790104,2.26840072602323
"ET","X2",1000,5.6498564440945,0.00346209989332036,0.218156952993226,0.218075330605781,0.214710080587781,0.984200034158195,0.955,0.841648050139487,993.735497510039,4.01244155294666,8.33005499390898,0.313171482160701,2.06075469086298
"ET","X3",1000,5.6474536696316,-0.00280459343071625,0.213853988690945,0.213765433816741,0.213015964363181,0.9960813247726,0.952,0.835007236567804,993.735497510039,4.01244155294666,8.33005499390898,0.326767750044303,2.33476764247446
"ET","X4",1000,5.64765280718068,-0.00373529413623402,0.228098772277231,0.2280152917827,0.212086317328248,0.929800345748808,0.933,0.831363087154198,993.735497510039,4.01244155294666,8.33005499390898,0.319069103711428,1.95669713574909
"HD","(Intercept)",1000,3.60100417979932,0.00278636463261327,0.143088384212769,0.143043962608669,0.143064688769242,0.99983439995037,0.949,0.560803274894292,993.604848051765,4.20191301190063,9.7388386026656,0.206948582434573,2.09178070513823
"HD","X1",1000,5.64011827641695,-0.0100899327423499,0.221831794475873,0.221950315246658,0.212612770609958,0.958441377225941,0.943,0.833426746097586,993.604848051765,4.20191301190063,9.7388386026656,0.332713714790104,2.24954052769003
"HD","X2",1000,5.65063658885803,0.0042422446568503,0.218755550930162,0.218687296639344,0.214852238645058,0.982156739481552,0.955,0.842205299484238,993.604848051765,4.20191301190063,9.7388386026656,0.313171482160701,2.04949211258277
"HD","X3",1000,5.64825313649473,-0.00200512656758324,0.21444149601174,0.214343627358252,0.213218329238727,0.994296035068951,0.951,0.835800492303417,993.604848051765,4.20191301190063,9.7388386026656,0.326767750044303,2.32199199888153
"HD","X4",1000,5.64830523169138,-0.00308286962553679,0.228517969656074,0.228424486599853,0.212241326769839,0.92877302861245,0.933,0.831970712999764,993.604848051765,4.20191301190063,9.7388386026656,0.319069103711428,1.94952492099263
"CE","(Intercept)",1000,3.60164315310715,0.00342533794043724,0.143623784195497,0.143592815054425,0.143357785532936,0.998147948377415,0.95,0.561952193095943,992.972088347989,4.75955768180457,13.3640007896624,0.206948582434573,2.0762143153837
"CE","X1",1000,5.64221807335236,-0.00799013580694077,0.224360253562497,0.224390347665542,0.213326458043259,0.950821077512444,0.943,0.836224349428564,992.972088347989,4.75955768180457,13.3640007896624,0.332713714790104,2.19912321026962
"CE","X2",1000,5.65255042187279,0.0061560776716041,0.220371957452864,0.220347754978974,0.215427144103153,0.977561512785632,0.952,0.844458887468998,992.972088347989,4.75955768180457,13.3640007896624,0.313171482160701,2.01953673276626
"CE","X3",1000,5.65011762655568,-0.000140636506633413,0.215827347224625,0.215719452402503,0.21392703851829,0.991195236698355,0.951,0.838578581630322,992.972088347989,4.75955768180457,13.3640007896624,0.326767750044303,2.29226820243065
"CE","X4",1000,5.64977357383469,-0.00161452748222647,0.22968455020935,0.22957535649816,0.212769538258332,0.926355464764171,0.932,0.834041263987094,992.972088347989,4.75955768180457,13.3640007896624,0.319069103711428,1.92977172237938
